,work_id,doi,title,publication_year,publication_date,type,type_crossref,cited_by_count,num_authors,num_locations,num_references,language,has_complete_institution_info,has_grant_info,has_keywords,created_date,updated_date,paper_openalex_id,only_focal,focal_and_refs,only_refs,Dindex
10,2955790184,10.1021/acsami.9b07115,Enhancement of Ethane Selectivity in Ethane–Ethylene Mixtures by Perfluoro Groups in Zr-Based Metal-Organic Frameworks,2019,2019-07-02,article,journal-article,66,8,2,50,en,True,True,True,2019-07-12,2023-12-20 07:21:47.076,2955790184,0,0,13256,0.0
11,2955960546,10.1021/acsami.9b04622,Anion Exchange Membranes with Dynamic Redox-Responsive Properties,2019,2019-07-04,article,journal-article,3,5,2,32,en,True,False,True,2019-07-12,2023-12-16 08:42:32.664,2955960546,3,13,12442,-0.0008026970621287
12,2956015401,10.1021/acsami.9b05531,Bioactive Silk Coatings Reduce the Adhesion of <i>Staphylococcus aureus</i> while Supporting Growth of Osteoblast-like Cells,2019,2019-06-26,article,journal-article,22,6,4,38,en,True,True,True,2019-07-12,2023-12-19 02:27:36.538,2956015401,0,0,15373,0.0
13,2956136322,10.1021/acsami.9b05517,Magnetically Actuated Heterogeneous Microcapsule-Robot for the Construction of 3D Bioartificial Architectures,2019,2019-07-03,article,journal-article,19,7,2,47,en,True,True,True,2019-07-12,2023-12-12 18:59:12.370,2956136322,35,31,1566,0.0024509803921568
14,2956322816,10.1021/acsami.9b03381,MoS<sub>2</sub> for Enhanced Electrical Performance of Ultrathin Copper Films,2019,2019-07-09,article,journal-article,24,9,2,34,en,True,True,True,2019-07-23,2023-12-13 16:07:44.134,2956322816,3,1,3,0.2857142857142857
15,2956757409,10.1021/acsami.9b07097,Improved Performance of Planar Perovskite Solar Cells Using an Amino-Terminated Multifunctional Fullerene Derivative as the Passivation Layer,2019,2019-07-08,article,journal-article,28,6,2,45,en,True,True,True,2019-07-23,2023-12-17 15:45:48.692,2956757409,0,0,91153,0.0
16,2956860718,10.1021/acsami.9b07546,"Effect of Cation Substitution on the Gas-Sensing Performances of Ternary Spinel MCo<sub>2</sub>O<sub>4</sub> (M = Mn, Ni, and Zn) Multishelled Hollow Twin Spheres",2019,2019-07-10,article,journal-article,73,6,2,44,en,True,True,True,2019-07-23,2023-12-17 21:01:08.335,2956860718,0,0,173,0.0
17,2957056826,10.1021/acsami.9b08429,Enhanced Adhesion and Cohesion of Bioinspired Dry/Wet Pressure-Sensitive Adhesives,2019,2019-07-16,article,journal-article,85,5,2,67,en,True,False,True,2019-07-23,2023-12-13 13:54:11.260,2957056826,26,9,2363,0.0070892410341951
18,2957106065,10.1021/acsami.9b07983,"Electrowetting Behavior and Digital Microfluidic Applications of Fluorescent, Polymer-Encapsulated Quantum Dot Nanofluids",2019,2019-07-10,article,journal-article,6,5,2,48,en,True,True,True,2019-07-23,2023-12-17 02:43:09.747,2957106065,2,0,32,0.0588235294117647
19,2957244546,10.1021/acsami.9b05855,Self-Assembled Indomethacin Dimer Nanoparticles Loaded with Doxorubicin for Combination Therapy in Resistant Breast Cancer,2019,2019-07-17,article,journal-article,22,5,2,50,en,True,True,True,2019-07-23,2023-12-17 03:59:29.528,2957244546,8,1,5559,0.0012571839080459
20,2957308487,10.1021/acsami.9b08712,All-Inorganic Flexible Ba<sub>0.67</sub>Sr<sub>0.33</sub>TiO<sub>3</sub> Thin Films with Excellent Dielectric Properties over a Wide Range of Frequencies,2019,2019-07-08,article,journal-article,32,12,2,58,en,True,True,True,2019-07-23,2023-12-14 16:10:44.880,2957308487,0,0,2018,0.0
21,2957400815,10.1021/acsami.9b08708,Nanodot-Directed Formation of Plasmonic-Fluorescent Nanohybrids toward Dual Optical Detection of Glucose and Cholesterol via Hydrogen Peroxide Sensing,2019,2019-07-08,article,journal-article,40,3,2,72,en,True,True,True,2019-07-23,2023-12-15 01:22:50.407,2957400815,0,0,9272,0.0
22,2957408171,10.1021/acsami.9b08047,Tumor-Targeting NIRF NanoGUMBOS with Cyclodextrin-Enhanced Chemo/Photothermal Antitumor Activities,2019,2019-07-16,article,journal-article,23,9,2,46,en,True,True,True,2019-07-23,2023-12-15 10:58:05.086,2957408171,0,0,161,0.0
23,2957413428,10.1021/acsami.9b11370,Fullerene Active Layers for n-Type Organic Electrochemical Transistors,2019,2019-07-12,article,journal-article,67,5,2,56,en,True,True,True,2019-07-23,2023-12-14 20:10:47.230,2957413428,0,0,775,0.0
24,2957787585,10.1021/acsami.9b06533,"Superhydrophilic, Underwater Directional Oil-Transport Fabrics with a Novel Oil Trapping Function",2019,2019-07-10,article,journal-article,14,8,2,26,en,True,True,True,2019-07-23,2023-12-16 00:43:45.935,2957787585,15,6,16541,0.0005434126313247
25,2958087364,10.1021/acsami.9b07518,Synergetic Effect of the Surfactant and Silica Coating on the Enhanced Emission and Stability of Perovskite Quantum Dots for Anticounterfeiting,2019,2019-07-08,article,journal-article,83,11,2,59,en,True,True,True,2019-07-23,2023-12-18 21:46:18.598,2958087364,0,0,21552,0.0
26,2958211329,10.1021/acsami.9b07490,Optimizing Hydrophobicity and Photocatalytic Activity of PDMS-Coated Titanium Dioxide,2019,2019-07-09,article,journal-article,56,6,5,28,en,True,True,True,2019-07-23,2023-12-18 04:35:00.882,2958211329,1,2,927,-0.0010752688172043
27,2958448414,10.1021/acsami.9b09339,Coreactant-Free Dual Amplified Electrochemiluminescent Biosensor Based on Conjugated Polymer Dots for the Ultrasensitive Detection of MicroRNA,2019,2019-07-09,article,journal-article,68,4,2,39,en,True,True,True,2019-07-23,2023-12-14 00:14:33.219,2958448414,0,0,1,0.0
28,2958495148,10.1021/acsami.9b09243,PEGylated Protamine-Based Adsorbing Improves the Biological Properties and Stability of Tetrahedral Framework Nucleic Acids,2019,2019-07-12,article,journal-article,33,7,2,46,en,True,True,True,2019-07-23,2023-12-12 05:22:26.062,2958495148,1,2,816,-0.0012210012210012
29,2958517585,10.1021/acsami.9b04380,Controlling Carrier Type and Concentration in NiO Films To Enable <i>in Situ</i> PN Homojunctions,2019,2019-07-08,article,journal-article,17,4,2,39,en,True,True,True,2019-07-23,2023-12-15 09:40:00.839,2958517585,1,0,82,0.0120481927710843
30,2958704895,10.1021/acsami.9b06437,Conjugated Carbonyl Polymer-Based Flexible Cathode for Superior Lithium-Organic Batteries,2019,2019-07-17,article,journal-article,62,7,2,45,en,True,True,True,2019-07-23,2023-12-13 20:42:28.123,2958704895,3,0,485,0.0061475409836065
31,2958834680,10.1021/acsami.9b08078,High-Flux Direct-Contact Pervaporation Membranes for Desalination,2019,2019-07-11,article,journal-article,46,3,2,57,en,True,True,True,2019-07-23,2023-12-12 10:20:47.676,2958834680,1,0,239,0.0041666666666666
32,2958854647,10.1021/acsami.9b09000,Two-Dimensional/Three-Dimensional Schottky Junction Photovoltaic Devices Realized by the Direct CVD Growth of vdW 2D PtSe<sub>2</sub> Layers on Silicon,2019,2019-07-09,article,journal-article,45,6,2,54,en,True,True,True,2019-07-23,2023-12-13 14:32:03.746,2958854647,0,8,24233,-0.000330019388639
33,2958912921,10.1021/acsami.9b06976,Synthesis of Porous Si/C Composite Nanosheets from Vermiculite with a Hierarchical Structure as a High-Performance Anode for Lithium-Ion Battery,2019,2019-07-16,article,journal-article,48,5,2,56,en,True,True,True,2019-07-23,2023-12-17 08:03:41.731,2958912921,0,6,2478,-0.002415458937198
34,2958967991,10.1021/acsami.9b07765,Carbon Black Oxidized by Air Calcination for Enhanced H<sub>2</sub>O<sub>2</sub> Generation and Effective Organics Degradation,2019,2019-07-11,article,journal-article,96,5,2,43,en,False,True,True,2019-07-23,2023-12-12 05:24:54.994,2958967991,20,35,10423,-0.001431570910479
35,2959170049,10.1021/acsami.9b06543,Hierarchical Cobalt-Doped Molybdenum–Nickel Nitride Nanowires as Multifunctional Electrocatalysts,2019,2019-07-15,article,journal-article,58,6,2,65,en,True,True,True,2019-07-23,2023-12-12 16:05:21.626,2959170049,0,1,14152,-7.065639793683318e-05
36,2959232910,10.1021/acsami.9b11836,Synergetic Effect of Facet Junction and Specific Facet Activation of ZnFe<sub>2</sub>O<sub>4</sub> Nanoparticles on Photocatalytic Activity Improvement,2019,2019-07-17,article,journal-article,54,6,2,64,en,True,True,True,2019-07-23,2023-12-19 21:22:01.316,2959232910,1,0,3583,0.0002790178571428
37,2959742957,10.1021/acsami.9b08145,Ti<sub>3</sub>Sn–NiTi Syntactic Foams with Extremely High Specific Strength and Damping Capacity Fabricated by Pressure Melt Infiltration,2019,2019-07-16,article,journal-article,13,6,2,53,en,True,True,True,2019-07-23,2023-12-11 19:35:53.195,2959742957,1,0,106,0.0093457943925233
38,2959761693,10.1021/acsami.9b09938,Reversible MOF-Based Sensors for the Electrical Detection of Iodine Gas,2019,2019-07-17,article,journal-article,47,10,6,35,en,True,True,True,2019-07-23,2023-12-09 19:29:48.802,2959761693,0,0,1177,0.0
39,2960067460,10.1021/acsami.9b08037,Dual Signal Amplification by eATRP and DNA-Templated Silver Nanoparticles for Ultrasensitive Electrochemical Detection of Nucleic Acids,2019,2019-07-17,article,journal-article,40,5,2,30,en,True,True,True,2019-07-23,2023-12-14 00:35:34.002,2960067460,0,0,3544,0.0
40,2960124931,10.1021/acsami.9b09301,Four-Mode Programmable Metamaterial Using Ternary Foldable Origami,2019,2019-07-16,article,journal-article,26,2,2,49,en,True,False,True,2019-07-23,2023-12-15 11:17:41.946,2960124931,0,0,7141,0.0
41,2960190127,10.1021/acsami.9b07400,Quantification on Growing Mass of Solid Electrolyte Interphase and Deposited Mn(II) on the Silicon Anode of LiMn<sub>2</sub>O<sub>4</sub> Full Lithium-Ion Cells,2019,2019-07-11,article,journal-article,7,9,2,32,en,True,True,True,2019-07-23,2023-12-14 02:50:52.503,2960190127,0,0,7379,0.0
42,2960521480,10.1021/acsami.9b08871,Mechanotunable Surface Lattice Resonances in the Visible Optical Range by Soft Lithography Templates and Directed Self-Assembly,2019,2019-07-12,article,journal-article,69,8,2,31,en,True,True,True,2019-07-23,2023-12-17 07:04:41.998,2960521480,0,0,3076,0.0
43,2960602628,10.1021/acsami.9b06346,Tuning the Electrocatalytic Oxygen Reduction Reaction Activity of Pt–Co Nanocrystals by Cobalt Concentration with Atomic-Scale Understanding,2019,2019-07-08,article,journal-article,39,8,4,61,en,True,True,True,2019-07-23,2023-12-18 04:15:41.388,2960602628,3,10,26757,-0.0002614867388868
44,2960906638,10.1021/acsami.9b08946,"Self-Organized Back Surface Field to Improve the Performance of Cu<sub>2</sub>ZnSn(S,Se)<sub>4</sub> Solar Cells by Applying P-Type MoSe<sub>2</sub>:Nb to the Back Electrode Interface",2019,2019-07-17,article,journal-article,21,8,2,43,en,True,True,True,2019-07-23,2023-12-17 07:16:29.721,2960906638,0,0,1060,0.0
45,2960967657,10.1021/acsami.9b07547,Scanning Probe-Directed Assembly and Rapid Chemical Writing Using Nanoscopic Flow of Phospholipids,2019,2019-07-09,article,journal-article,10,4,2,50,en,True,True,True,2019-07-23,2023-12-16 01:17:46.186,2960967657,0,0,844,0.0
46,2961034871,10.1021/acsami.9b08320,Liquid Exfoliation of Atomically Thin Antimony Selenide as an Efficient Two-Dimensional Antibacterial Nanoagent,2019,2019-07-09,article,journal-article,33,7,2,49,en,True,True,True,2019-07-23,2023-12-20 07:21:45.545,2961034871,0,1,1172,-0.000852514919011
47,2961057031,10.1021/acsami.9b08132,Insight into the Microstructure and Ionic Conductivity of Cold Sintered NASICON Solid Electrolyte for Solid-State Batteries,2019,2019-07-12,article,journal-article,61,12,2,22,en,True,True,True,2019-07-23,2023-12-12 16:05:29.652,2961057031,0,0,35,0.0
48,2961093965,10.1021/acsami.9b07859,Side-Chain Polymers as Dopant-Free Hole-Transporting Materials for Perovskite Solar Cells—The Impact of Substituents’ Positions in Carbazole on Device Performance,2019,2019-07-08,article,journal-article,33,12,2,45,en,True,True,True,2019-07-23,2023-12-18 08:09:48.899,2961093965,1,4,169,-0.0172413793103448
49,2961481937,10.1021/acsami.9b07786,Flexible and Washable Poly(Ionic Liquid) Nanofibrous Membrane with Moisture Proof Pressure Sensing for Real-Life Wearable Electronics,2019,2019-07-08,article,journal-article,102,6,2,45,en,True,True,True,2019-07-23,2023-12-12 16:05:38.568,2961481937,10,26,6413,-0.0024810048069468
50,2961569512,10.1021/acsami.9b05465,Development of Graphene Oxide Framework Membranes via the “from” and “to” Cross-Linking Approach for Ion-Selective Separations,2019,2019-07-15,article,journal-article,24,2,2,52,en,True,True,True,2019-07-23,2023-12-12 13:58:41.119,2961569512,17,1,4867,0.0032753326509723
51,2961612156,10.1021/acsami.9b05878,Ultrathin and Isotropic Metal Sulfide Wrapping on Plasmonic Metal Nanoparticles for Surface Enhanced Ram Scattering-Based Detection of Trace Heavy-Metal Ions,2019,2019-07-10,article,journal-article,17,7,2,49,en,True,True,True,2019-07-23,2023-12-19 23:29:12.080,2961612156,1,0,502,0.0019880715705765
52,2961680021,10.1021/acsami.9b08436,"Band-Offset Analysis of Atomic Layer Deposition La<sub>2</sub>O<sub>3</sub> on GaAs(111), (110), and (100) Surfaces for Epitaxial Growth",2019,2019-07-11,article,journal-article,9,4,2,19,en,True,True,True,2019-07-23,2023-12-09 23:29:04.455,2961680021,6,12,6940,-0.0008623167576889
53,2961711529,10.1021/acsami.9b06564,Sodium Alginate Enabled Advanced Layered Manganese-Based Cathode for Sodium-Ion Batteries,2019,2019-07-09,article,journal-article,25,6,2,49,en,True,True,True,2019-07-23,2023-12-16 10:54:29.852,2961711529,0,2,27861,-7.177977963607651e-05
54,2961823353,10.1021/acsami.9b09882,Two-Dimensional Bismuth Oxide Heterostructured Nanosheets for Lithium- and Sodium-Ion Storages,2019,2019-07-12,article,journal-article,51,4,2,44,en,True,True,True,2019-07-23,2023-12-18 04:15:39.604,2961823353,0,0,368,0.0
55,2962024859,10.1021/acsami.9b07857,Piezoelectric Material-Polymer Composite Porous Foam for Efficient Dye Degradation via the Piezo-Catalytic Effect,2019,2019-07-15,article,journal-article,138,6,4,38,en,True,True,True,2019-07-23,2023-12-17 07:04:39.848,2962024859,17,1,498,0.0310077519379844
56,2962108736,10.1021/acsami.9b07279,Direct Ink Writing of Poly(tetrafluoroethylene) (PTFE) with Tunable Mechanical Properties,2019,2019-07-10,article,journal-article,36,8,3,46,en,True,True,True,2019-07-23,2023-12-12 20:18:41.839,2962108736,1,0,29098,3.436544211141276e-05
57,2962159611,10.1021/acsami.9b10023,High-Performance N-Type Carbon Nanotube Composites: Improved Power Factor by Optimizing the Acridine Scaffold and Tailoring the Side Chains,2019,2019-07-12,article,journal-article,38,12,2,56,en,True,True,True,2019-07-23,2023-12-16 02:15:55.849,2962159611,0,0,6143,0.0
58,2962349678,10.1021/acsami.9b05718,Interactions between Friction Modifiers and Dispersants in Lubricants: The Case of Glycerol Monooleate and Polyisobutylsuccinimide-Polyamine,2019,2019-07-09,article,journal-article,12,3,3,61,en,True,False,True,2019-07-23,2023-12-13 07:24:07.819,2962349678,3,17,1072,-0.0128205128205128
59,2962597500,10.1021/acsami.9b08603,Asymmetric Wettability Interfaces Induced a Large-Area Quantum Dot Microstructure toward High-Resolution Quantum Dot Light-Emitting Diodes,2019,2019-07-15,article,journal-article,9,5,2,43,en,True,True,True,2019-07-23,2023-12-09 19:29:58.199,2962597500,1,1,502,0.0
60,2962796194,10.1021/acsami.9b06195,Catalyst-Free Vertical ZnO-Nanotube Array Grown on p-GaN for UV-Light-Emitting Devices,2019,2019-07-25,article,journal-article,21,10,2,67,en,True,True,True,2019-07-30,2023-12-14 05:14:58.045,2962796194,2,10,13388,-0.0005970149253731
61,2962805885,10.1021/acsami.9b08045,Mechanical Properties of Particle Films on Curved Interfaces Probed through Electric Field-Induced Wrinkling of Particle Shells,2019,2019-07-22,article,journal-article,12,2,2,72,en,True,True,True,2019-07-30,2023-12-15 07:11:26.506,2962805885,1,0,561,0.0017793594306049
62,2962821156,10.1021/acsami.9b10888,Polymer-Assisted Deposition of Gallium Oxide for Thin-Film Transistor Applications,2019,2019-07-23,article,journal-article,14,8,2,66,en,True,True,True,2019-07-30,2023-12-14 23:14:26.255,2962821156,0,0,1351,0.0
63,2962831126,10.1021/acsami.9b09465,Preparation of a Novel Raman Probe and Its Application in the Detection of Circulating Tumor Cells and Exosomes,2019,2019-07-18,article,journal-article,67,5,2,51,en,True,True,True,2019-07-30,2023-12-15 01:15:34.499,2962831126,5,2,652,0.0045523520485584
64,2962838852,10.1021/am508482n,Stress Transfer Mechanisms at the Submicron Level for Graphene/Polymer Systems,2015,2015-02-16,article,journal-article,101,8,5,44,en,True,True,True,2019-07-30,2023-12-19 11:00:58.163,2962838852,1,0,70,0.0140845070422535
65,2963042571,10.1021/acsami.9b09498,All-Printed Substrate-Versatile Microsupercapacitors with Thermoreversible Self-Protection Behavior Based on Safe Sol–Gel Transition Electrolytes,2019,2019-07-19,article,journal-article,15,6,2,49,en,True,True,True,2019-07-30,2023-12-16 23:52:47.357,2963042571,0,1,3301,-0.0003028467595396
66,2963187100,10.1021/acsami.9b07751,Giant Humidity Effect on Hybrid Halide Perovskite Microstripes: Reversibility and Sensing Mechanism,2019,2019-07-25,article,journal-article,68,8,3,70,en,True,True,True,2019-07-30,2023-12-16 16:51:58.494,2963187100,0,0,3625,0.0
67,2963192472,10.1021/acsami.9b09324,Harnessing the Day–Night Rhythm of Humidity and Sunlight into Mechanical Work Using Recyclable and Reprogrammable Soft Actuators,2019,2019-07-24,article,journal-article,28,6,2,50,en,True,True,True,2019-07-30,2023-12-17 07:16:29.395,2963192472,2,0,15087,0.0001325468884617
68,2963205701,10.1021/acsami.9b08199,Self-Limiting Processes in the Flame-Based Fabrication of Superhydrophobic Surfaces from Silicones,2019,2019-07-22,article,journal-article,9,5,2,59,en,True,True,True,2019-07-30,2023-12-19 23:29:56.490,2963205701,0,0,12839,0.0
69,2963268924,10.1021/acsami.9b09140,Advanced TiO<sub>2</sub>–SiO<sub>2</sub>–Sulfur (Ti–Si–S) Nanohybrid Materials: Potential Adsorbent for the Remediation of Contaminated Wastewater,2019,2019-07-22,article,journal-article,35,5,2,52,en,True,True,True,2019-07-30,2023-12-10 07:06:00.147,2963268924,0,0,5607,0.0
70,2963374736,10.1021/acsami.9b07270,"Using Mixed Salt Electrolytes to Stabilize Silicon Anodes for Lithium-Ion Batteries via in Situ Formation of Li–M–Si Ternaries (M = Mg, Zn, Al, Ca)",2019,2019-07-18,article,journal-article,57,7,4,44,en,True,True,True,2019-07-30,2023-12-14 05:07:44.085,2963374736,0,0,579,0.0
71,2963390803,10.1021/acsami.9b08263,Freestanding Hierarchical Carbon Nitride/Carbon-Paper Electrode as a Photoelectrocatalyst for Water Splitting and Dye Degradation,2019,2019-07-23,article,journal-article,23,4,2,59,en,True,True,True,2019-07-30,2023-12-15 05:37:07.843,2963390803,1,0,108,0.0091743119266055
72,2963404927,10.1021/acsami.9b06854,Activation of Catalytically Active Edge-Sharing Domains in Ca<sub>2</sub>FeCoO<sub>5</sub> for Oxygen Evolution Reaction in Highly Alkaline Media,2019,2019-07-24,article,journal-article,25,5,2,31,en,True,True,True,2019-07-30,2023-12-13 01:18:23.173,2963404927,0,3,2320,-0.0012914334911752
73,2963460902,10.1021/acsami.9b08734,Hierarchical Structure: An effective Strategy to Enhance the Mechanical Performance and Fire Safety of Unsaturated Polyester Resin,2019,2019-07-24,article,journal-article,63,8,2,56,en,True,True,True,2019-07-30,2023-12-12 18:59:48.047,2963460902,0,0,9800,0.0
74,2963589655,10.1021/acsami.9b09346,Feasible Modification of PEDOT:PSS by Poly(4-styrenesulfonic acid): A Universal Method to Double the Efficiencies for Solution-Processed Organic Light-Emitting Devices,2019,2019-07-19,article,journal-article,36,10,2,49,en,True,True,True,2019-07-30,2023-12-12 10:20:51.820,2963589655,0,0,149,0.0
75,2963611354,10.1021/acsami.9b09056,Facile Synthesis of Carbon-Coated Porous Sb<sub>2</sub>Te<sub>3</sub> Nanoplates with High Alkali Metal Ion Storage,2019,2019-07-22,article,journal-article,38,8,2,49,en,True,True,True,2019-07-30,2023-12-19 22:45:54.138,2963611354,1,2,440,-0.0022573363431151
76,2963653988,10.1021/acsami.9b10211,Mitochondria-Specific Anticancer Drug Delivery Based on Reduction-Activated Polyprodrug for Enhancing the Therapeutic Effect of Breast Cancer Chemotherapy,2019,2019-07-22,article,journal-article,28,10,2,55,en,True,True,True,2019-07-30,2023-12-14 03:40:44.027,2963653988,0,1,345,-0.0028901734104046
77,2963739839,10.1021/acsami.9b09583,Self-Assembled Peptide Nanofibers Display Natural Antimicrobial Peptides to Selectively Kill Bacteria without Compromising Cytocompatibility,2019,2019-07-22,article,journal-article,56,8,2,49,en,True,True,True,2019-07-30,2023-12-16 14:15:45.302,2963739839,0,1,3985,-0.0002508780732563
78,2963745377,10.1021/acsami.9b09830,Advancing Metal–Phenolic Networks for Visual Information Storage,2019,2019-07-19,article,journal-article,42,8,3,43,en,True,True,True,2019-07-30,2023-12-11 07:17:51.949,2963745377,11,0,157,0.0654761904761904
79,2963792942,10.1021/acsami.9b07564,Water-in-PDMS Emulsion Templating of Highly Interconnected Porous Architectures for 3D Cell Culture,2019,2019-07-23,article,journal-article,32,8,7,59,en,True,True,True,2019-07-30,2023-12-15 07:35:53.455,2963792942,1,0,4919,0.0002032520325203
80,2963844302,10.1021/acsami.9b09891,"Spontaneous Generation of a Molecular Thin Hydrophobic Skin Layer on a Sub-20 nm, High-<i>k</i> Polymer Dielectric for Extremely Stable Organic Thin-Film Transistor Operation",2019,2019-07-23,article,journal-article,28,12,2,60,en,True,False,True,2019-07-30,2023-12-16 12:55:15.746,2963844302,19,6,598,0.0208667736757624
81,2963844464,10.1021/acsami.9b09317,P2-Na<sub>2/3</sub>MnO<sub>2</sub> by Co Incorporation: As a Cathode Material of High Capacity and Long Cycle Life for Sodium-Ion Batteries,2019,2019-07-18,article,journal-article,36,5,2,23,en,True,True,True,2019-07-30,2023-12-13 14:32:14.801,2963844464,0,0,100,0.0
82,2963870552,10.1021/acsami.9b09945,Mixed Nanosheet Membranes Assembled from Chemically Grafted Graphene Oxide and Covalent Organic Frameworks for Ultra-high Water Flux,2019,2019-07-23,article,journal-article,67,10,2,60,en,True,True,True,2019-07-30,2023-12-13 14:32:15.517,2963870552,3,1,18026,0.0001109262340543
83,2963902893,10.1021/acsami.9b10718,Engineering DNA–Nanozyme Interfaces for Rapid Detection of Dental Bacteria,2019,2019-07-18,article,journal-article,44,14,2,53,en,True,True,True,2019-07-30,2023-12-18 04:15:52.226,2963902893,3,2,857,0.0011600928074245
84,2963914932,10.1021/acsami.9b09335,Going Nano with Confined Effects to Construct Pomegranate-like Cathode for High-Energy and High-Power Lithium-Ion Batteries,2019,2019-07-23,article,journal-article,3,6,2,33,en,True,True,True,2019-07-30,2023-12-12 17:29:20.438,2963914932,0,0,401,0.0
85,2964189826,10.1021/acsami.9b11025,Intracellular Imaging of Glutathione with MnO<sub>2</sub> Nanosheet@Ru(bpy)<sub>3</sub><sup>2+</sup>–UiO-66 Nanocomposites,2019,2019-07-24,article,journal-article,46,8,2,54,en,True,True,True,2019-07-30,2023-12-18 08:10:10.858,2964189826,25,6,72,0.1844660194174757
86,2964227188,10.1021/acsami.9b08238,Constructing Bifunctional 3D Holey and Ultrathin CoP Nanosheets for Efficient Overall Water Splitting,2019,2019-07-25,article,journal-article,46,8,3,53,en,True,True,True,2019-07-30,2023-12-14 23:30:22.941,2964227188,0,1,11521,-8.679048776254123e-05
87,2964278776,10.1021/acsami.8b05932,Thick Layered Semiconductor Devices with Water Top-Gates: High On–Off Ratio Field-Effect Transistors and Aqueous Sensors,2018,2018-06-21,article,journal-article,13,8,3,60,en,True,True,True,2019-07-30,2023-12-17 12:54:56.145,2964278776,0,0,137,0.0
88,2964348951,10.1021/acsami.9b07371,Highly Efficient and Stable Catalyst Based on Co(OH)<sub>2</sub>@Ni Electroplated on Cu-Metallized Cotton Textile for Water Splitting,2019,2019-07-25,article,journal-article,47,7,3,34,en,True,True,True,2019-07-30,2023-12-11 13:32:00.020,2964348951,2,35,352,-0.0848329048843187
89,2964451388,10.1021/acsami.9b09564,Relationship between Lattice Strain and Efficiency for Sn-Perovskite Solar Cells,2019,2019-08-06,article,journal-article,94,9,2,35,en,True,False,True,2019-08-13,2023-12-20 07:21:51.255,2964451388,0,0,383,0.0
